Notes:,,,,,
Please do not change the template headings,,,,,
"Date should be in YYYY-MM-DD Format, Card Type Shoulde Be 0, 1, 2, 3, 4, 5",,,,,
"If you are overwriting existing attendance records, 'ID' column mandatory",,,,,
Biometrics ID,Card Type,Date,Time,Location,Device ID
180120,0,2024-07-19,16:24:19,Manual Upload December 12 2024,
33,0,2024-07-19,17:58:38,Manual Upload December 12 2024,
33,0,2024-07-19,18:04:15,Manual Upload December 12 2024,
230065,0,2024-07-19,18:06:00,Manual Upload December 12 2024,
180120,0,2024-07-19,18:19:25,Manual Upload December 12 2024,
180120,0,2024-07-19,18:21:01,Manual Upload December 12 2024,
180120,0,2024-07-19,18:21:19,Manual Upload December 12 2024,
18,0,2024-07-19,18:27:06,Manual Upload December 12 2024,
190034,0,2024-07-19,18:58:12,Manual Upload December 12 2024,
33,0,2024-07-19,19:15:38,Manual Upload December 12 2024,
19,0,2024-07-19,19:26:57,Manual Upload December 12 2024,
28,0,2024-07-19,19:37:42,Manual Upload December 12 2024,
19,0,2024-07-19,19:47:50,Manual Upload December 12 2024,
19,0,2024-07-19,20:50:07,Manual Upload December 12 2024,
19,0,2024-07-19,23:01:16,Manual Upload December 12 2024,
19,0,2024-07-20,5:52:09,Manual Upload December 12 2024,
18,0,2024-07-20,6:16:48,Manual Upload December 12 2024,
19,0,2024-07-20,6:30:22,Manual Upload December 12 2024,
26,0,2024-07-20,6:44:21,Manual Upload December 12 2024,
40,0,2024-07-20,6:46:49,Manual Upload December 12 2024,
33,0,2024-07-20,7:07:03,Manual Upload December 12 2024,
26,0,2024-07-20,7:40:12,Manual Upload December 12 2024,
26,0,2024-07-20,8:46:42,Manual Upload December 12 2024,
26,0,2024-07-20,9:01:51,Manual Upload December 12 2024,
26,0,2024-07-20,9:21:30,Manual Upload December 12 2024,
33,0,2024-07-20,10:10:57,Manual Upload December 12 2024,
26,0,2024-07-20,12:07:05,Manual Upload December 12 2024,
33,0,2024-07-20,13:38:39,Manual Upload December 12 2024,
230054,0,2024-07-20,14:49:59,Manual Upload December 12 2024,
40,0,2024-07-20,15:03:41,Manual Upload December 12 2024,
33,0,2024-07-20,15:45:09,Manual Upload December 12 2024,
33,0,2024-07-20,17:16:43,Manual Upload December 12 2024,
32,0,2024-07-20,18:56:14,Manual Upload December 12 2024,
32,0,2024-07-20,22:21:16,Manual Upload December 12 2024,
32,0,2024-07-21,0:12:59,Manual Upload December 12 2024,
32,0,2024-07-21,6:03:27,Manual Upload December 12 2024,
19,0,2024-07-21,6:52:22,Manual Upload December 12 2024,
19,0,2024-07-21,8:54:07,Manual Upload December 12 2024,
19,0,2024-07-21,9:01:06,Manual Upload December 12 2024,
19,0,2024-07-21,10:29:40,Manual Upload December 12 2024,
19,0,2024-07-21,12:14:39,Manual Upload December 12 2024,
19,0,2024-07-21,14:01:37,Manual Upload December 12 2024,
19,0,2024-07-21,15:01:48,Manual Upload December 12 2024,
19,0,2024-07-21,15:57:48,Manual Upload December 12 2024,
19,0,2024-07-21,19:00:59,Manual Upload December 12 2024,
19,0,2024-07-21,19:42:43,Manual Upload December 12 2024,
19,0,2024-07-22,3:26:05,Manual Upload December 12 2024,
19,0,2024-07-22,3:32:26,Manual Upload December 12 2024,
19,0,2024-07-22,3:59:56,Manual Upload December 12 2024,
19,0,2024-07-22,4:02:29,Manual Upload December 12 2024,
19,0,2024-07-22,4:34:05,Manual Upload December 12 2024,
19,0,2024-07-22,4:37:53,Manual Upload December 12 2024,
19,0,2024-07-22,5:07:01,Manual Upload December 12 2024,
180022,0,2024-07-22,5:41:15,Manual Upload December 12 2024,
19,0,2024-07-22,5:50:49,Manual Upload December 12 2024,
70282,0,2024-07-22,6:08:50,Manual Upload December 12 2024,
230069,0,2024-07-22,6:18:11,Manual Upload December 12 2024,
240010,0,2024-07-22,6:18:15,Manual Upload December 12 2024,
240014,0,2024-07-22,6:22:30,Manual Upload December 12 2024,
240014,0,2024-07-22,6:22:31,Manual Upload December 12 2024,
150040,0,2024-07-22,6:43:24,Manual Upload December 12 2024,
19,0,2024-07-22,6:53:26,Manual Upload December 12 2024,
230084,0,2024-07-22,6:54:39,Manual Upload December 12 2024,
32,0,2024-07-22,6:57:13,Manual Upload December 12 2024,
19,0,2024-07-22,7:01:41,Manual Upload December 12 2024,
220033,0,2024-07-22,7:02:52,Manual Upload December 12 2024,
220033,0,2024-07-22,7:02:53,Manual Upload December 12 2024,
33,0,2024-07-22,7:09:19,Manual Upload December 12 2024,
33,0,2024-07-22,7:09:20,Manual Upload December 12 2024,
19,0,2024-07-22,7:09:21,Manual Upload December 12 2024,
44,0,2024-07-22,7:15:20,Manual Upload December 12 2024,
19,0,2024-07-22,7:15:30,Manual Upload December 12 2024,
950411,0,2024-07-22,7:16:58,Manual Upload December 12 2024,
32,0,2024-07-22,7:27:41,Manual Upload December 12 2024,
180141,0,2024-07-22,7:33:35,Manual Upload December 12 2024,
230081,0,2024-07-22,7:33:41,Manual Upload December 12 2024,
3,0,2024-07-22,7:33:44,Manual Upload December 12 2024,
32,0,2024-07-22,7:33:46,Manual Upload December 12 2024,
30,0,2024-07-22,7:34:51,Manual Upload December 12 2024,
160119,0,2024-07-22,7:50:29,Manual Upload December 12 2024,
230077,0,2024-07-22,7:51:33,Manual Upload December 12 2024,
160119,0,2024-07-22,7:51:54,Manual Upload December 12 2024,
160119,0,2024-07-22,7:55:28,Manual Upload December 12 2024,
40,0,2024-07-22,7:57:31,Manual Upload December 12 2024,
40,0,2024-07-22,8:00:21,Manual Upload December 12 2024,
28,0,2024-07-22,8:04:04,Manual Upload December 12 2024,
32,0,2024-07-22,8:05:24,Manual Upload December 12 2024,
220054,0,2024-07-22,8:08:08,Manual Upload December 12 2024,
40,0,2024-07-22,8:08:35,Manual Upload December 12 2024,
210040,0,2024-07-22,8:13:04,Manual Upload December 12 2024,
240011,0,2024-07-22,8:16:52,Manual Upload December 12 2024,
981062,0,2024-07-22,8:17:40,Manual Upload December 12 2024,
200030,0,2024-07-22,8:27:02,Manual Upload December 12 2024,
190137,0,2024-07-22,8:31:06,Manual Upload December 12 2024,
230033,0,2024-07-22,8:40:15,Manual Upload December 12 2024,
6,0,2024-07-22,8:40:41,Manual Upload December 12 2024,
230072,0,2024-07-22,8:41:41,Manual Upload December 12 2024,
32,0,2024-07-22,8:45:30,Manual Upload December 12 2024,
180141,0,2024-07-22,8:51:16,Manual Upload December 12 2024,
150008,0,2024-07-22,8:51:57,Manual Upload December 12 2024,
160147,0,2024-07-22,8:54:15,Manual Upload December 12 2024,
230088,0,2024-07-22,8:55:03,Manual Upload December 12 2024,
210015,0,2024-07-22,8:56:16,Manual Upload December 12 2024,
170035,0,2024-07-22,8:56:43,Manual Upload December 12 2024,
