Notes:,,,,,
Please do not change the template headings,,,,,
"Date should be in YYYY-MM-DD Format, Card Type Shoulde Be 0, 1, 2, 3, 4, 5",,,,,
"If you are overwriting existing attendance records, 'ID' column mandatory",,,,,
Biometrics ID,Card Type,Date,Time,Location,Device ID
180120,1,2024-07-19,16:26:08,"Manual Upload December 12, 2024",
180120,1,2024-07-19,16:50:30,"Manual Upload December 12, 2024",
33,1,2024-07-19,17:36:03,"Manual Upload December 12, 2024",
33,1,2024-07-19,17:42:08,"Manual Upload December 12, 2024",
210040,1,2024-07-19,17:44:36,"Manual Upload December 12, 2024",
230048,1,2024-07-19,17:56:47,"Manual Upload December 12, 2024",
210003,1,2024-07-19,18:00:39,"Manual Upload December 12, 2024",
230065,1,2024-07-19,18:03:50,"Manual Upload December 12, 2024",
230065,1,2024-07-19,18:08:09,"Manual Upload December 12, 2024",
18,1,2024-07-19,18:27:43,"Manual Upload December 12, 2024",
190034,1,2024-07-19,18:52:30,"Manual Upload December 12, 2024",
13,1,2024-07-19,19:01:10,"Manual Upload December 12, 2024",
180120,1,2024-07-19,19:05:08,"Manual Upload December 12, 2024",
33,1,2024-07-19,19:14:49,"Manual Upload December 12, 2024",
33,1,2024-07-19,19:16:13,"Manual Upload December 12, 2024",
180120,1,2024-07-19,19:22:24,"Manual Upload December 12, 2024",
19,1,2024-07-19,19:25:46,"Manual Upload December 12, 2024",
28,1,2024-07-19,19:26:58,"Manual Upload December 12, 2024",
19,1,2024-07-19,19:44:41,"Manual Upload December 12, 2024",
19,1,2024-07-19,20:45:31,"Manual Upload December 12, 2024",
28,1,2024-07-19,21:26:15,"Manual Upload December 12, 2024",
190034,1,2024-07-19,22:58:19,"Manual Upload December 12, 2024",
190034,1,2024-07-19,22:58:20,"Manual Upload December 12, 2024",
19,1,2024-07-19,22:59:37,"Manual Upload December 12, 2024",
19,1,2024-07-20,5:27:59,"Manual Upload December 12, 2024",
19,1,2024-07-20,6:29:23,"Manual Upload December 12, 2024",
26,1,2024-07-20,6:43:25,"Manual Upload December 12, 2024",
26,1,2024-07-20,6:44:17,"Manual Upload December 12, 2024",
40,1,2024-07-20,6:47:55,"Manual Upload December 12, 2024",
33,1,2024-07-20,7:07:50,"Manual Upload December 12, 2024",
19,1,2024-07-20,7:14:10,"Manual Upload December 12, 2024",
26,1,2024-07-20,8:39:16,"Manual Upload December 12, 2024",
26,1,2024-07-20,8:48:31,"Manual Upload December 12, 2024",
26,1,2024-07-20,9:44:45,"Manual Upload December 12, 2024",
33,1,2024-07-20,10:10:23,"Manual Upload December 12, 2024",
33,1,2024-07-20,11:25:54,"Manual Upload December 12, 2024",
33,1,2024-07-20,13:33:50,"Manual Upload December 12, 2024",
33,1,2024-07-20,13:37:11,"Manual Upload December 12, 2024",
40,1,2024-07-20,15:02:50,"Manual Upload December 12, 2024",
33,1,2024-07-20,15:44:37,"Manual Upload December 12, 2024",
33,1,2024-07-20,17:13:04,"Manual Upload December 12, 2024",
33,1,2024-07-20,19:07:52,"Manual Upload December 12, 2024",
33,1,2024-07-20,19:08:48,"Manual Upload December 12, 2024",
32,1,2024-07-20,22:19:09,"Manual Upload December 12, 2024",
32,1,2024-07-21,0:10:20,"Manual Upload December 12, 2024",
