Notes:,,,,,
Please do not change the template headings,,,,,
"Date should be in YYYY-MM-DD Format, Card Type Shoulde Be 0, 1, 2, 3, 4, 5",,,,,
"If you are overwriting existing attendance records, 'ID' column mandatory",,,,,
Biometrics ID,Card Type,Date,Time,Location,Device ID
160007,,2024-09-22,05:56:05,,
910342,,2024-09-22,06:00:11,,
120038,,2024-09-22,06:00:17,,
120048,,2024-09-22,06:00:21,,
100051,,2024-09-22,06:00:27,,
130024,,2024-09-22,06:04:54,,
220050,,2024-09-22,06:07:49,,
30398,,2024-09-22,06:15:32,,
170333,,2024-09-22,06:16:53,,
920132,,2024-09-22,06:52:38,,
160048,,2024-09-22,07:09:53,,
150089,,2024-09-22,07:11:37,,
160076,,2024-09-22,07:27:48,,
110104,,2024-09-22,08:01:06,,
40060,,2024-09-22,08:09:11,,
50370,,2024-09-22,09:05:09,,
50370,,2024-09-22,09:05:10,,
170341,,2024-09-22,11:36:46,,
150089,,2024-09-22,13:20:32,,
150089,,2024-09-22,13:20:49,,
150089,,2024-09-22,13:20:54,,
150089,,2024-09-22,13:20:55,,
150089,,2024-09-22,13:20:56,,
150089,,2024-09-22,13:20:57,,
150089,,2024-09-22,13:21:31,,
150089,,2024-09-22,13:21:32,,
70521,,2024-09-22,14:11:20,,
50370,,2024-09-22,16:12:12,,
50370,,2024-09-22,16:12:13,,
170341,,2024-09-22,16:20:11,,
40060,,2024-09-22,17:15:59,,
160007,,2024-09-22,18:10:06,,
160048,,2024-09-22,18:10:10,,
110104,,2024-09-22,18:13:38,,
160076,,2024-09-22,18:15:47,,
920132,,2024-09-22,18:35:53,,
920132,,2024-09-22,18:35:54,,
990217,,2024-09-22,19:19:40,,
170333,,2024-09-22,22:30:17,,
120038,,2024-09-23,04:45:32,,
120048,,2024-09-23,05:32:24,,
100051,,2024-09-23,05:49:12,,
80400,,2024-09-23,05:59:23,,
220050,,2024-09-23,06:00:00,,
990217,,2024-09-23,06:02:39,,
920132,,2024-09-23,06:05:21,,
30398,,2024-09-23,06:46:35,,
40060,,2024-09-23,06:58:10,,
110104,,2024-09-23,07:00:29,,
110068,,2024-09-23,07:01:40,,
220021,,2024-09-23,07:12:42,,
30363,,2024-09-23,07:17:05,,
160007,,2024-09-23,07:35:51,,
70123,,2024-09-23,07:46:44,,
220024,,2024-09-23,07:56:18,,
220024,,2024-09-23,07:56:19,,
150089,,2024-09-23,07:57:36,,
50370,,2024-09-23,08:11:23,,
50370,,2024-09-23,08:11:24,,
160048,,2024-09-23,08:25:46,,
220023,,2024-09-23,08:36:12,,
  09-0089,,2024-09-23,08:42:20,,
170341,,2024-09-23,08:56:26,,
210057,,2024-09-23,09:12:29,,
160091,,2024-09-23,09:21:44,,
110136,,2024-09-23,13:29:35,,
110103,,2024-09-23,13:55:11,,
130012,,2024-09-23,13:58:55,,
110068,,2024-09-23,16:08:34,,
30398,,2024-09-23,16:19:48,,
920132,,2024-09-23,16:46:30,,
140025,,2024-09-23,17:08:31,,
140025,,2024-09-23,17:08:32,,
160091,,2024-09-23,17:24:29,,
220021,,2024-09-23,17:29:46,,
70521,,2024-09-23,17:30:28,,
170293,,2024-09-23,17:42:20,,
220023,,2024-09-23,17:52:49,,
120038,,2024-09-23,18:00:54,,
120048,,2024-09-23,18:01:18,,
100051,,2024-09-23,18:01:24,,
30363,,2024-09-23,18:01:47,,
130024,,2024-09-23,18:04:36,,
220050,,2024-09-23,18:14:11,,
70123,,2024-09-23,18:16:03,,
210057,,2024-09-23,18:16:08,,
80400,,2024-09-23,18:31:39,,
  09-0089,,2024-09-23,18:42:27,,
40060,,2024-09-23,19:02:34,,
50370,,2024-09-23,19:06:18,,
160007,,2024-09-23,19:15:16,,
150089,,2024-09-23,19:32:40,,
170341,,2024-09-23,19:49:38,,
120044,,2024-09-23,19:54:00,,
160076,,2024-09-23,20:52:43,,
170311,,2024-09-23,21:14:35,,
170126,,2024-09-23,21:21:09,,
100027,,2024-09-23,21:40:18,,
110104,,2024-09-23,21:59:58,,
110136,,2024-09-23,22:00:14,,
110103,,2024-09-23,22:03:16,,
130012,,2024-09-23,22:03:21,,
160048,,2024-09-23,23:20:52,,
120038,,2024-09-24,05:03:28,,
120048,,2024-09-24,05:25:35,,
120048,,2024-09-24,05:25:36,,
100051,,2024-09-24,05:46:04,,
220050,,2024-09-24,05:53:14,,
920132,,2024-09-24,05:59:20,,
80400,,2024-09-24,05:59:38,,
110104,,2024-09-24,06:01:05,,
170311,,2024-09-24,06:01:13,,
170311,,2024-09-24,06:01:14,,
120044,,2024-09-24,06:01:30,,
170293,,2024-09-24,06:01:35,,
160076,,2024-09-24,06:04:28,,
130024,,2024-09-24,06:06:22,,
100027,,2024-09-24,06:11:43,,
70521,,2024-09-24,06:14:23,,
40060,,2024-09-24,06:24:40,,
110068,,2024-09-24,06:38:39,,
30398,,2024-09-24,06:43:46,,
910184,,2024-09-24,06:52:22,,
170126,,2024-09-24,06:56:02,,
170333,,2024-09-24,06:57:15,,
170333,,2024-09-24,06:57:16,,
160048,,2024-09-24,07:11:06,,
190020,,2024-09-24,07:27:29,,
190020,,2024-09-24,07:27:30,,
190020,,2024-09-24,07:27:31,,
30363,,2024-09-24,07:29:26,,
160007,,2024-09-24,07:42:17,,
160007,,2024-09-24,07:42:23,,
70123,,2024-09-24,07:48:59,,
50370,,2024-09-24,07:55:14,,
50370,,2024-09-24,07:55:15,,
150089,,2024-09-24,07:59:39,,
190058,,2024-09-24,08:27:33,,
210055,,2024-09-24,08:31:13,,
  09-0089,,2024-09-24,08:35:27,,
220023,,2024-09-24,08:40:37,,
220002,,2024-09-24,08:40:40,,
160091,,2024-09-24,09:03:27,,
170341,,2024-09-24,09:04:52,,
170341,,2024-09-24,09:04:53,,
910342,,2024-09-24,11:28:10,,
110136,,2024-09-24,13:15:33,,
110136,,2024-09-24,13:15:34,,
40381,,2024-09-24,13:34:53,,
110103,,2024-09-24,13:39:20,,
130012,,2024-09-24,13:53:50,,
80400,,2024-09-24,14:39:40,,
120038,,2024-09-24,16:00:23,,
100051,,2024-09-24,16:00:32,,
140025,,2024-09-24,16:32:54,,
30363,,2024-09-24,17:00:56,,
920132,,2024-09-24,17:03:25,,
160091,,2024-09-24,17:19:42,,
210055,,2024-09-24,17:20:39,,
170333,,2024-09-24,17:35:11,,
170333,,2024-09-24,17:35:12,,
190058,,2024-09-24,17:35:24,,
220024,,2024-09-24,17:39:42,,
220024,,2024-09-24,17:39:43,,
70521,,2024-09-24,17:44:50,,
30398,,2024-09-24,18:03:41,,
120048,,2024-09-24,18:04:15,,
110068,,2024-09-24,18:05:54,,
110068,,2024-09-24,18:06:00,,
110068,,2024-09-24,18:06:03,,
110068,,2024-09-24,18:06:08,,
190020,,2024-09-24,18:18:39,,
190020,,2024-09-24,18:18:40,,
220050,,2024-09-24,18:26:14,,
40060,,2024-09-24,19:05:09,,
160007,,2024-09-24,19:06:17,,
160007,,2024-09-24,19:06:22,,
  09-0089,,2024-09-24,19:11:05,,
70123,,2024-09-24,19:16:26,,
170293,,2024-09-24,19:29:43,,
50370,,2024-09-24,19:38:55,,
50370,,2024-09-24,19:39:58,,
120044,,2024-09-24,19:54:36,,
910184,,2024-09-24,20:25:27,,
