Notes:,,,,,
Please do not change the template headings,,,,,
"Date should be in YYYY-MM-DD Format, Card Type Shoulde Be 0, 1, 2, 3, 4, 5",,,,,
"If you are overwriting existing attendance records, 'ID' column mandatory",,,,,
Biometrics ID,Card Type,Date,Time,Location,Device ID
2020022500,3,2024-11-29,14:10:29,Manual Upload 11-29-2024,
2004091100,3,2024-11-29,14:00:03,Manual Upload 11-29-2025,
2022072200,3,2024-11-29,13:58:44,Manual Upload 11-29-2026,
2013050600,3,2024-11-29,13:56:42,Manual Upload 11-29-2027,
2020022500,2,2024-11-29,13:54:36,Manual Upload 11-29-2028,
2024041600,3,2024-11-29,13:51:47,Manual Upload 11-29-2029,
2006122101,3,2024-11-29,13:51:25,Manual Upload 11-29-2030,
2016052300,3,2024-11-29,13:50:01,Manual Upload 11-29-2031,
2010010401,3,2024-11-29,13:49:25,Manual Upload 11-29-2032,
2024112001,3,2024-11-29,13:49:07,Manual Upload 11-29-2033,
2019090500,3,2024-11-29,13:48:59,Manual Upload 11-29-2034,
2023081601,3,2024-11-29,13:48:51,Manual Upload 11-29-2035,
2018051800,3,2024-11-29,13:48:47,Manual Upload 11-29-2036,
2024022100,3,2024-11-29,13:43:16,Manual Upload 11-29-2037,
2019051600,3,2024-11-29,13:36:15,Manual Upload 11-29-2038,
2022072200,2,2024-11-29,13:35:09,Manual Upload 11-29-2039,
2023081600,3,2024-11-29,13:29:53,Manual Upload 11-29-2040,
2024091800,2,2024-11-29,13:17:42,Manual Upload 11-29-2041,
1997100500,3,2024-11-29,13:17:34,Manual Upload 11-29-2042,
2012092900,3,2024-11-29,13:15:54,Manual Upload 11-29-2043,
2015010500,3,2024-11-29,13:08:29,Manual Upload 11-29-2044,
2004091100,2,2024-11-29,13:06:12,Manual Upload 11-29-2045,
2006122101,2,2024-11-29,13:01:42,Manual Upload 11-29-2046,
2018071800,3,2024-11-29,13:00:00,Manual Upload 11-29-2047,
2024022100,2,2024-11-29,12:59:31,Manual Upload 11-29-2048,
2024041600,2,2024-11-29,12:53:33,Manual Upload 11-29-2049,
2024112001,2,2024-11-29,12:49:22,Manual Upload 11-29-2050,
